Date,Number of  reported results
2022/12/31 0:00,20380
2022/12/30 0:00,21204
2022/12/29 0:00,20001
2022/12/28 0:00,20160
2022/12/27 0:00,20879
2022/12/26 0:00,20011
2022/12/25 0:00,15554
2022/12/24 0:00,20281
2022/12/23 0:00,21937
2022/12/22 0:00,20490
2022/12/21 0:00,22180
2022/12/20 0:00,24137
2022/12/19 0:00,26010
2022/12/18 0:00,22166
2022/12/17 0:00,22336
2022/12/16 0:00,22853
2022/12/15 0:00,22176
2022/12/14 0:00,20824
2022/12/13 0:00,24101
2022/12/12 0:00,22873
2022/12/11 0:00,21947
2022/12/10 0:00,21157
2022/12/9 0:00,23640
2022/12/8 0:00,21199
2022/12/7 0:00,24899
2022/12/6 0:00,23509
2022/12/5 0:00,23153
2022/12/4 0:00,25577
2022/12/3 0:00,23873
2022/12/2 0:00,24646
2022/12/1 0:00,22628
2022/11/30 0:00,2569
2022/11/29 0:00,23739
2022/11/28 0:00,26051
2022/11/27 0:00,25206
2022/11/26 0:00,26381
2022/11/25 0:00,24197
2022/11/24 0:00,27705
2022/11/23 0:00,26663
2022/11/22 0:00,27437
2022/11/21 0:00,24288
2022/11/20 0:00,24991
2022/11/19 0:00,24749
2022/11/18 0:00,29208
2022/11/17 0:00,27465
2022/11/16 0:00,25576
2022/11/15 0:00,27475
2022/11/14 0:00,26536
2022/11/13 0:00,25085
2022/11/12 0:00,24660
2022/11/11 0:00,25993
2022/11/10 0:00,27467
2022/11/9 0:00,28984
2022/11/8 0:00,27213
2022/11/7 0:00,26096
2022/11/6 0:00,31068
2022/11/5 0:00,29743
2022/11/4 0:00,27330
2022/11/3 0:00,29554
2022/11/2 0:00,27670
2022/11/1 0:00,27502
2022/10/31 0:00,26498
2022/10/30 0:00,24672
2022/10/29 0:00,25156
2022/10/28 0:00,27905
2022/10/27 0:00,27609
2022/10/26 0:00,30063
2022/10/25 0:00,28953
2022/10/24 0:00,28947
2022/10/23 0:00,29279
2022/10/22 0:00,29084
2022/10/21 0:00,28637
2022/10/20 0:00,28741
2022/10/19 0:00,28322
2022/10/18 0:00,28612
2022/10/17 0:00,31269
2022/10/16 0:00,30459
2022/10/15 0:00,30403
2022/10/14 0:00,28906
2022/10/13 0:00,27197
2022/10/12 0:00,29151
2022/10/11 0:00,28575
2022/10/10 0:00,26878
2022/10/9 0:00,28408
2022/10/8 0:00,26905
2022/10/7 0:00,29026
2022/10/6 0:00,32522
2022/10/5 0:00,30935
2022/10/4 0:00,32014
2022/10/3 0:00,32288
2022/10/2 0:00,30088
2022/10/1 0:00,28202
2022/9/30 0:00,31223
2022/9/29 0:00,30477
2022/9/28 0:00,31355
2022/9/27 0:00,30985
2022/9/26 0:00,31706
2022/9/25 0:00,28994
2022/9/24 0:00,32777
2022/9/23 0:00,31509
2022/9/22 0:00,34455
2022/9/21 0:00,31976
2022/9/20 0:00,31277
2022/9/19 0:00,35050
2022/9/18 0:00,33102
2022/9/17 0:00,33418
2022/9/16 0:00,37309
2022/9/15 0:00,33344
2022/9/14 0:00,32142
2022/9/13 0:00,29497
2022/9/12 0:00,29147
2022/9/11 0:00,27887
2022/9/10 0:00,29237
2022/9/9 0:00,32172
2022/9/8 0:00,31962
2022/9/7 0:00,30992
2022/9/6 0:00,32734
2022/9/5 0:00,32733
2022/9/4 0:00,32018
2022/9/3 0:00,31191
2022/9/2 0:00,35724
2022/9/1 0:00,31903
2022/8/31 0:00,35343
2022/8/30 0:00,33660
2022/8/29 0:00,34281
2022/8/28 0:00,30214
2022/8/27 0:00,31241
2022/8/26 0:00,34716
2022/8/25 0:00,36737
2022/8/24 0:00,33700
2022/8/23 0:00,33549
2022/8/22 0:00,35888
2022/8/21 0:00,35617
2022/8/20 0:00,38245
2022/8/19 0:00,33965
2022/8/18 0:00,34938
2022/8/17 0:00,35815
2022/8/16 0:00,35105
2022/8/15 0:00,35376
2022/8/14 0:00,31652
2022/8/13 0:00,35276
2022/8/12 0:00,34198
2022/8/11 0:00,37301
2022/8/10 0:00,37654
2022/8/9 0:00,36223
2022/8/8 0:00,35516
2022/8/7 0:00,36223
2022/8/6 0:00,38841
2022/8/5 0:00,37350
2022/8/4 0:00,37229
2022/8/3 0:00,38381
2022/8/2 0:00,34909
2022/8/1 0:00,36662
2022/7/31 0:00,39250
2022/7/30 0:00,37353
2022/7/29 0:00,37791
2022/7/28 0:00,40650
2022/7/27 0:00,38384
2022/7/26 0:00,39171
2022/7/25 0:00,39228
2022/7/24 0:00,39813
2022/7/23 0:00,36769
2022/7/22 0:00,43099
2022/7/21 0:00,39086
2022/7/20 0:00,42237
2022/7/19 0:00,39667
